Point,Type,NAME,KIND,ADMINCODE,ADDRESS
"[[121.61059253999996, 30.898672785000045]]",3,奉贤区皮肤病防治所－肠道门诊,7204,310120,奉柘公路941
"[[121.15872036000002, 30.89951217000004]]",3,金山区妇幼保健所,7200,310116,南圩路12
"[[121.82538941999996, 30.90174623999997]]",3,浦东新区泥城社区卫生中心－门诊部,7204,310115,
"[[121.82522904000002, 30.901795919999994]]",3,泥城社区卫生中心,7200,310115,南芦公路1843号
"[[121.82526917999996, 30.901905900000035]]",3,浦东新区泥城社区卫生中心－肠道肝炎门诊,7204,310115,
"[[121.82558993999996, 30.901956390000038]]",3,浦东新区泥城社区卫生中心－住院部,7204,310115,
"[[121.44685067999998, 30.904822350000025]]",3,惠爱医院－住院部,7204,310120,环城南路1038号附近
"[[121.44747203999998, 30.904953435000035]]",3,惠爱医院－惠爱口腔,7204,310120,环城南路1010
"[[121.44747203999998, 30.904953435000035]]",3,惠爱医院体外碎石,7204,310120,环城南路1010
"[[121.43761038, 30.906843885000043]]",3,奉贤区医疗救护站,7200,310120,沪杭公路2183
"[[121.64218991999999, 30.908413529999976]]",3,上海奉爱医院,7200,310120,城大路182号
"[[121.44020597999999, 30.908907675000005]]",3,南桥贝港门诊部,7200,310120,南桥环城西路373
"[[121.63777434000004, 30.912755849999993]]",3,上海市奉贤区医疗救护站奉城分站,7200,310120,川南奉公路9983号
"[[121.63750452, 30.912846074999997]]",3,奉贤区奉城医院－血液净化中心,7204,310120,川南奉公路9983号
"[[121.63750452, 30.912846074999997]]",3,奉贤区奉城医院－肾内科临时门诊,7204,310120,川南奉公路9983号
"[[121.63697513999999, 30.91296658500002]]",3,奉贤区奉城医院－发热门诊,7204,310120,川南奉公路9983号
"[[121.63709484000003, 30.913046414999965]]",3,奉贤区奉城医院－肝炎门诊,7204,310120,川南奉公路9983号
"[[121.63709484000003, 30.913046414999965]]",3,奉贤区奉城医院－肠道门诊,7204,310120,川南奉公路9983号
"[[121.63778423999997, 30.913135604999972]]",3,奉贤区奉城医院－CT室,7204,310120,川南奉公路9983号
"[[121.63748436000003, 30.913375725000034]]",3,奉贤区奉城医院－儿保门诊,7204,310120,川南奉公路9983号
"[[121.63748436000003, 30.913375725000034]]",3,奉贤区奉城医院－健康体检,7204,310120,川南奉公路9983号
"[[121.63748436000003, 30.913375725000034]]",3,奉贤区奉城医院－预防接种,7204,310120,川南奉公路9983号
"[[121.63737456, 30.913385849999983]]",3,奉贤区奉城医院－门诊部,7204,310120,川南奉公路9983号
"[[121.45704354000003, 30.914017154999993]]",3,上海市奉贤区中医医院－急诊放射科,7204,310120,南奉公路9588号上海市奉贤区中医医院1号楼
"[[121.45750469999999, 30.914118180000003]]",3,上海市奉贤区中医医院－门诊,7204,310120,南奉公路9588号上海市奉贤区中医医院2号楼
"[[121.44992670000005, 30.914432685]]",3,南桥地段医院,7200,310120,南中路260
"[[121.45695318000001, 30.91475659499998]]",3,上海市奉贤区中医医院－住院楼,7204,310120,南奉公路9588号上海市奉贤区中医医院4号楼
"[[121.45752485999998, 30.914927820000024]]",3,上海市奉贤区中医医院－放射楼,7204,310120,南奉公路9588号上海市奉贤区中医医院5号楼
"[[121.46276123999998, 30.915241155000015]]",3,上海市奉贤区古华医院西门,7200,310120,南奉公路9252
"[[121.46326290000002, 30.915422369999998]]",3,上海市奉贤区古华医院,7200,310120,南奉公路9220
"[[121.46257044000001, 30.915500444999974]]",3,上海市奉贤区古华医院－肝病门诊,7204,310120,南奉公路9252
"[[121.46281128000004, 30.91559103000001]]",3,上海市奉贤区古华医院－肠道门诊,7204,310120,南奉公路9252
"[[121.46306202, 30.915601695000003]]",3,上海市奉贤区古华医院－内科二病区,7204,310120,南奉公路9220号上海市奉贤区古华医院1号楼2／3层
"[[121.46306202, 30.915601695000003]]",3,上海市奉贤区古华医院－检验科,7204,310120,南奉公路9220号上海市奉贤区古华医院1号楼1／2层
"[[121.46306202, 30.915601695000003]]",3,上海市奉贤区古华医院－卡介苗接种,7204,310120,南奉公路9220号上海市奉贤区古华医院1号楼1层
"[[121.46306202, 30.915601695000003]]",3,上海市奉贤区古华医院－放射,7204,310120,南奉公路9220号上海市奉贤区古华医院1号楼1层
"[[121.46306202, 30.915601695000003]]",3,上海市奉贤区古华医院－心电图,7204,310120,南奉公路9220号上海市奉贤区古华医院1号楼1层
"[[121.46306202, 30.915601695000003]]",3,上海市奉贤区古华医院－B超,7204,310120,南奉公路9220号上海市奉贤区古华医院1号楼1层
"[[121.46345333999996, 30.915762614999995]]",3,上海市奉贤区古华医院－门诊部,7204,310120,南奉公路9220号上海市奉贤区古华医院2号楼1层
"[[121.46345333999996, 30.915762614999995]]",3,古华医院住院部,7204,310120,南奉公路9220号上海市奉贤区古华医院2号楼2层
"[[121.46345333999996, 30.915762614999995]]",3,上海市奉贤区古华医院－肺科,7204,310120,南奉公路9220号上海市奉贤区古华医院2号楼1层
"[[121.46345333999996, 30.915762614999995]]",3,上海市奉贤区古华医院－内科,7204,310120,南奉公路9220号上海市奉贤区古华医院2号楼1层
"[[121.46345333999996, 30.915762614999995]]",3,上海市奉贤区古华医院－中医科,7204,310120,南奉公路9220号上海市奉贤区古华医院2号楼1层
"[[121.46345333999996, 30.915762614999995]]",3,上海市奉贤区古华医院－皮肤科,7204,310120,南奉公路9220号上海市奉贤区古华医院2号楼1层
"[[121.46345333999996, 30.915762614999995]]",3,上海市奉贤区古华医院－犬咬伤门诊,7204,310120,南奉公路9220号上海市奉贤区古华医院2号楼1层
"[[121.46321232, 30.916051740000025]]",3,奉贤区老年医院住院部,7204,310120,南奉公路9220号上海市奉贤区古华医院3号楼
"[[121.46302062000004, 30.92126746500001]]",3,上海奉浦医院－口腔科,7204,310120,南桥环城东路1158
"[[121.46279993999998, 30.92139688499997]]",3,上海奉浦医院,7200,310120,南桥环城东路1148
"[[121.46279993999998, 30.92139688499997]]",3,上海奉浦医院－门诊,7204,310120,南桥环城东路1148
"[[121.501791, 30.923054910000022]]",3,奉贤区中心医院－儿科,7204,310120,
"[[121.50194166000003, 30.923065349999998]]",3,奉贤区中心医院－门诊,7204,310120,
"[[121.50133938000002, 30.923903070000033]]",3,奉贤区中心医院－感染门诊,7204,310120,
"[[121.50145980000002, 30.924143325000017]]",3,上海市奉贤区中心医院－医技楼,7204,310120,
"[[121.50129923999998, 30.924342719999995]]",3,奉贤区中心医院－高压氧舱,7204,310120,
"[[121.50197154, 30.924674550000006]]",3,上海市奉贤区中心医院－7号楼病房楼,7204,310120,
"[[121.50309564000003, 30.924797849999994]]",3,上海市奉贤区中心医院－6号楼病房楼,7204,310120,
"[[121.50171053999999, 30.925653254999983]]",3,上海市奉贤区中心医院－行政楼,7204,310120,
"[[121.06256994, 30.93318467999999]]",3,松江区医疗急救中心新浜分站,7200,310117,共青路1251
"[[121.31348310000001, 30.940344584999988]]",3,叶榭镇卫生院－门诊楼,7204,310117,叶权路210号
"[[121.31346311999997, 30.940914329999966]]",3,叶榭镇卫生院,7200,310117,叶权路210号
"[[121.31346311999997, 30.940914329999966]]",3,松江中心医院叶榭分院,7200,310117,叶权路210号
"[[121.31346311999997, 30.940914329999966]]",3,松江区医疗急救中心叶榭急救站,7200,310117,叶权路210号
"[[121.90193117999999, 30.95447971499998]]",3,东海老年护理医院－门诊部,7204,310115,迎宾路1号上海市东海老年护理医院
"[[121.90263012, 30.954558510000016]]",3,东海老年护理医院－放射科,7204,310115,迎宾路1号上海市东海老年护理医院
"[[121.44162636000001, 30.96330957000004]]",3,奉贤区医疗救护站西渡分站,7200,310120,吴塘路486号
"[[121.44179681999998, 30.96348993000004]]",3,西渡医院,7200,310120,吴塘路480临
"[[121.44163644000004, 30.963719430000022]]",3,西渡医院－门诊部,7204,310120,吴塘路480临
"[[121.44150612000001, 30.96405895500005]]",3,西渡医院－住院部,7204,310120,吴塘路480临
"[[121.73608547999996, 30.96972274499998]]",3,南汇区医疗救护站大团分站,7200,310115,永定南路165号附近
"[[121.17480407999994, 30.97034734499997]]",3,松江区精神卫生中心－门诊,7204,310117,塔汇路231
"[[121.11557904, 30.98864911500001]]",3,松江区红十字老年护理院,7200,310117,石湖新路105
"[[121.49431812000003, 30.991142835000016]]",3,上海奉民门诊部,7200,310120,金钱公路412
"[[121.4035704, 31.007118330000047]]",3,复旦大学附属肿瘤医院闵行分院－住院,7204,310112,瑞丽路106
"[[121.40283059999999, 31.007338469999965]]",3,复旦大学附属上海市第五人民医院－血透室,7204,310112,
"[[121.40331048, 31.007418254999994]]",3,复旦大学附属上海市第五医院－结核病门诊,7204,310112,瑞丽路128复旦大学附属上海市第五人民医院
"[[121.40346041999997, 31.007438190000045]]",3,复旦大学附属上海市第五医院－肝病门诊,7204,310112,瑞丽路128复旦大学附属上海市第五人民医院
"[[121.40369027999998, 31.007458080000003]]",3,复旦大学附属上海市第五人民医院－感染楼,7204,310112,
"[[121.40359037999997, 31.007468115000034]]",3,复旦大学附属上海市第五医院－肠道门诊,7204,310112,瑞丽路128复旦大学附属上海市第五人民医院
"[[121.40308062, 31.007488320000018]]",3,复旦大学附属上海市第五医院－医技大楼,7204,310112,瑞丽路128复旦大学附属上海市第五人民医院
"[[121.40369027999998, 31.007498085000027]]",3,复旦大学附属上海市第五医院－发热门诊,7204,310112,瑞丽路128复旦大学附属上海市第五人民医院
"[[121.40344044, 31.007678085]]",3,上海道培医院,7200,310112,瑞丽路128
"[[121.40218097999998, 31.007898450000024]]",3,复旦大学附属上海市第五人民医院－住院楼,7204,310112,瑞丽路128号附近
"[[121.22553204000002, 31.00794182999997]]",3,上海博大医院－住院部,7204,310117,阔街55号
"[[121.40162118000003, 31.008128534999965]]",3,闵行区医疗急救中心江川分站,7200,310112,鹤庆路813
"[[121.40330039999996, 31.008157874999995]]",3,复旦大学附属上海市第五人民医院－门诊楼,7204,310112,瑞丽路128号附近
"[[121.40195111999998, 31.008228344999964]]",3,复旦大学附属上海市第五人民医院－儿科门急诊,7204,310112,鹤庆路811
"[[121.40195111999998, 31.008228344999964]]",3,复旦大学附属上海市第五人民医院－儿科楼,7204,310112,鹤庆路811
"[[121.23527922000005, 31.008229110000027]]",3,普照门诊部,7200,310117,普照路89号
"[[121.24812095999997, 31.00832230500001]]",3,曙光医院松江分院－住院部,7204,310117,中山东路39
"[[121.40358030000003, 31.00844762999999]]",3,复旦大学附属上海市第五人民医院－门诊部,7204,310112,鹤庆路797
"[[121.24795086, 31.008742065000014]]",3,曙光医院松江分院－门诊,7204,310117,中山东路39
"[[121.21668234, 31.00888192500004]]",3,松江区中心医院－门诊,7204,310117,中山中路746号
"[[121.24848059999997, 31.008911715000018]]",3,曙光医院松江分院－肝科门诊,7204,310117,中山东路39
"[[121.24848059999997, 31.008911715000018]]",3,曙光医院松江分院－发热门诊,7204,310117,中山东路39
"[[121.24848059999997, 31.008911715000018]]",3,曙光医院松江分院－肠道门诊,7204,310117,中山东路39
"[[121.21488000000001, 31.00933943999997]]",3,上海市松江区中心医院－呼吸道门诊,7204,310117,
"[[121.21561098000001, 31.009400460000045]]",3,松江区中心医院－高压氧舱,7204,310117,中山中路746号
"[[121.21467965999994, 31.00945909500001]]",3,松江区中心医院－发热门诊,7204,310117,中山中路746号
"[[121.21474967999998, 31.009479164999984]]",3,上海市松江区中心医院－肠道门诊,7204,310117,
"[[121.21764336000004, 31.009482675000008]]",3,上海市松江区中心医院－康复医学科,7204,310117,
"[[121.21483985999998, 31.009509269999988]]",3,上海市松江区中心医院－肝科门诊,7204,310117,
"[[121.21493003999998, 31.009519395000027]]",3,松江区中心医院－肺科门诊,7204,310117,
"[[121.21659216, 31.009531499999962]]",3,松江区中心医院－住院部,7204,310117,中山中路746号
"[[121.21491996000003, 31.009599314999978]]",3,松江区中心医院－感染性疾病科,7204,310117,
"[[121.23208601999998, 31.01337337500005]]",3,上海谷阳医院,7200,310117,谷阳北路46号
"[[121.22726201999998, 31.01531845500005]]",3,松江区乐都医院－体检中心,7204,310117,
"[[121.22633142, 31.015347749999986]]",3,松江区乐都医院－检验科,7204,310117,
"[[121.22645147999998, 31.015347839999993]]",3,上海市第一人民医院康复中心松江区康复中心,7204,310117,
"[[121.22644139999994, 31.015367820000048]]",3,松江区乐都医院－门诊,7204,310117,
"[[121.22644139999994, 31.015367820000048]]",3,松江区乐都医院－住院,7204,310117,
"[[121.22693172000001, 31.015618019999966]]",3,松江区乐都医院,7200,310117,乐都路279号
"[[121.29969600000004, 31.01565469499998]]",3,上海市松江区医疗急救中心车墩分站,7200,310117,北松公路5209
"[[121.64140152000003, 31.022286030000032]]",3,浦东医疗急救中心新场分站,7200,310115,石笋街121－1
"[[121.64072202000003, 31.025414835000007]]",3,中国人民解放军第八五医院新场分院－住院部,7204,310115,新奉公路219号
"[[121.64096177999997, 31.02569446500005]]",3,中国人民解放军第八五医院新场分院－妇科,7204,310115,新奉公路
"[[121.64096177999997, 31.02569446500005]]",3,中国人民解放军第八五医院新场分院－皮肤科,7204,310115,新奉公路
"[[121.64096177999997, 31.02569446500005]]",3,中国人民解放军第八五医院新场分院－五官科,7204,310115,新奉公路
"[[121.64096177999997, 31.02569446500005]]",3,中国人民解放军第八五医院新场分院－泌尿男科,7204,310115,新奉公路
"[[121.64096177999997, 31.02569446500005]]",3,中国人民解放军第八五医院新场分院－手足外伤专科,7204,310115,新奉公路219号
"[[121.64060196000005, 31.02570472500001]]",3,中国人民解放军第八五医院新场分院－综合门诊部,7204,310115,新奉公路219号
"[[121.2156162, 31.026777390000035]]",3,松江区妇幼保健院－住院部,7204,310117,西村北路1010
"[[121.21526574000004, 31.026796964999967]]",3,松江区妇幼保健院－门诊部,7204,310117,西村北路1010
"[[121.59423773999998, 31.028325929999998]]",3,上海南航医院,7200,310115,沪南公路5996号
"[[121.77831311999996, 31.03362094499997]]",3,光明中医医院惠南分院－门诊部,7204,310115,观海路259号
"[[121.20440760000002, 31.03420607999998]]",3,上海市松江区医疗急救中心,7200,310117,文诚路801号
"[[121.27858901999997, 31.03441146000001]]",3,东开医院,7200,310117,锦昔路180弄138号
"[[121.74206130000003, 31.04045788499998]]",3,上海汇南门诊部,7200,310115,南园路112号
"[[121.68595979999998, 31.040746110000025]]",3,浦东新区老年医院,7200,310115,张家桥路119
"[[121.22125343999994, 31.041937845000042]]",3,上海市第一人民医院南院－门诊,7204,310117,新松江路650
"[[121.22172413999999, 31.041958364999964]]",3,上海市第一人民医院南院－儿科门诊,7204,310117,新松江路650
"[[121.22195436000004, 31.041958634999986]]",3,上海市第一人民医院南院－妇产科门诊,7204,310117,新松江路650
"[[121.74266069999999, 31.04203635000002]]",3,上海福华医院－住院部,7204,310115,城南路98
"[[121.74246089999997, 31.04204647499997]]",3,上海福华医院－门诊大楼,7204,310115,城南路98号
"[[121.74226092000004, 31.042086570000002]]",3,上海福华医院,7200,310115,城南路98
"[[121.22156303999998, 31.043296755000036]]",3,上海市第一人民医院南院－国际医疗保健中心,7204,310117,新松江路650
"[[121.46330376000002, 31.043388329999974]]",3,闵行区吴泾医院－住院部,7204,310112,龙吴路5559
"[[121.22050158, 31.04361513]]",3,上海市第一人民医院南院－急救通道,7204,310117,新松江路650
"[[121.22124246000001, 31.04363601000004]]",3,上海市第一人民医院南院－上海交通大学妇科肿瘤诊治中心,7204,310117,新松江路650
"[[121.22124246000001, 31.04363601000004]]",3,上海市第一人民医院南院－上海市儿麻后遗症矫治中心,7204,310117,新松江路650
"[[121.22124246000001, 31.04363601000004]]",3,上海市第一人民医院南院－上海市松江区肿瘤诊治中心,7204,310117,新松江路650
"[[121.22124246000001, 31.04363601000004]]",3,上海市第一人民医院南院－上海市心脏病急救中心,7204,310117,新松江路650
"[[121.22124246000001, 31.04363601000004]]",3,上海市第一人民医院南院－上海交通大学重症疾病血液净化诊治中心,7204,310117,新松江路650
"[[121.22124246000001, 31.04363601000004]]",3,上海市第一人民医院南院－上海交通大学中医胃病诊治中心,7204,310117,新松江路650
"[[121.2244164, 31.043639789999997]]",3,上海市第一人民医院南院－实验中心,7204,310117,新松江路650上海市第一人民医院南院
"[[121.2244164, 31.043639789999997]]",3,上海市第一人民医院南院－教学中心,7204,310117,
"[[121.46284242000004, 31.043717054999995]]",3,闵行区医疗急救中心吴泾分站,7204,310112,剑川路159
"[[121.46282243999998, 31.043866949999963]]",3,闵行区吴泾医院－发热门诊,7204,310112,剑川路
"[[121.46312340000001, 31.043887739999995]]",3,闵行区吴泾医院－门诊部,7204,310112,剑川路155号
"[[121.75804152, 31.048130969999985]]",3,光明中医医院－住院部,7204,310115,东门大街339号
"[[121.75771157999998, 31.048400925000028]]",3,光明中医医院－门诊部,7204,310115,东门大街339号光明中医医院
"[[121.40296488000001, 31.049162324999966]]",3,上海都庄门诊部,7200,310112,鹤翔路28弄12
"[[121.74813521999997, 31.050575730000027]]",3,上海国正医院,7200,310115,人民西路99
"[[121.74790535999996, 31.050595890000007]]",3,上海国正医院－住院部,7204,310115,人民西路
"[[121.73414958000001, 31.056000795000013]]",3,上海平复堂中医门诊部,7200,310115,听悦路
"[[121.75036110000002, 31.057657964999994]]",3,南华医院－肺科住院楼,7204,310115,北门路71号
"[[121.75102079999999, 31.05772744499997]]",3,浦东新区南华医院,7200,310115,北门路71号
"[[121.75037099999994, 31.057987680000007]]",3,南华医院－门诊楼,7204,310115,北门路71号
"[[121.75073081999997, 31.05801742499998]]",3,南华医院－住院楼,7204,310115,北门路71号
"[[121.40029601999998, 31.05906844499999]]",3,上海交通大学医学院附属精神卫生中心闵行院区－门诊,7204,310112,
"[[121.40059643999997, 31.05913869000003]]",3,上海市精神卫生中心早期精神病干预中心,7204,310112,沪闵路3210
"[[121.40059643999997, 31.05913869000003]]",3,上海市精神卫生中心老年期痴呆诊疗中心,7204,310112,沪闵路3210
"[[121.40059643999997, 31.05913869000003]]",3,上海交通大学阿尔茨海默病诊治中心,7204,310112,沪闵路3210
"[[121.73340834000004, 31.06004778000002]]",3,上海市浦东医院－体检站,7204,310115,拱为路2800
"[[121.44296987999996, 31.06015429500004]]",3,上海振国医院－门诊,7204,310112,
"[[121.73166882000001, 31.060778354999982]]",3,上海市浦东医院－门诊,7204,310115,拱为路2800
"[[121.73214798000004, 31.06198691999997]]",3,浦东医院－肠道门诊,7204,310115,拱为路2800
"[[121.73214798000004, 31.06198691999997]]",3,浦东医院－发热门诊,7204,310115,拱为路2800
"[[121.73214798000004, 31.06198691999997]]",3,浦东医院－感染病科,7204,310115,拱为路2800
"[[121.73214798000004, 31.06198691999997]]",3,浦东医院－肝炎门诊,7204,310115,拱为路2800
"[[121.73272775999996, 31.062016530000022]]",3,上海市浦东医院－住院部,7204,310115,拱为路2800
"[[121.73306742, 31.06257579000002]]",3,浦东新区南汇精神卫生中心－社区药物维持治疗门诊,7204,310115,拱为路2800
"[[121.2384303, 31.066852904999973]]",3,上海阳光康复中心－礼和楼,7204,310117,
"[[121.23554706, 31.066909739999968]]",3,阳光康复中心高压氧舱房,7204,310117,
"[[121.23539694000002, 31.067109494999976]]",3,上海阳光康复中心－乐和楼,7204,310117,
"[[121.23595746000004, 31.06714009500002]]",3,上海阳光康复中心－祥和楼,7204,310117,
"[[121.23844038000003, 31.06742265000004]]",3,上海阳光康复中心－智和楼,7204,310117,
"[[121.23795977999997, 31.06750207500004]]",3,养志康复医院体检中心,7204,310117,
"[[121.23622782000001, 31.06771011000002]]",3,上海阳光康复中心－安和楼,7204,310117,
"[[121.23842021999997, 31.067942354999964]]",3,上海阳光康复中心－康和楼,7204,310117,
"[[121.23671832000001, 31.068370305000023]]",3,上海阳光康复中心－仁和楼,7204,310117,
"[[121.23709883999996, 31.068370709999968]]",3,上海阳光康复中心－信和楼,7204,310117,
"[[121.48942445999995, 31.072411529999997]]",3,上海交通大学医学院附属仁济医院南院门诊部,7200,310112,联航路2627
"[[121.49440056, 31.083639794999993]]",3,上海交通大学医学院附属仁济医院－门诊部,7204,310112,江月路2000
"[[121.49411958000003, 31.084478550000025]]",3,上海交通大学医学院附属仁济医院南院－住院部,7204,310112,
"[[121.43728530000001, 31.091916104999992]]",3,同康医院－门诊,7204,310112,双柏路888号
"[[121.17612636000001, 31.09701698999998]]",3,松江区医疗急救中心佘山分站,7200,310117,佘新路120
"[[121.52705076000001, 31.09805347500003]]",3,上海闵东门诊部,7200,310112,立跃路1788号
"[[121.59137214000003, 31.099175909999996]]",3,上海市浦东新区周浦医院南门,7200,310115,
"[[121.59111167999997, 31.09940554499999]]",3,浦东新区周浦医院－感染科,7200,310115,周园路1500号
"[[121.59176219999998, 31.10025537000005]]",3,上海市浦东新区周浦医院－儿科,7204,310115,周园路1500号
"[[121.59169200000002, 31.10063503500002]]",3,上海市浦东新区周浦医院－门诊,7204,310115,周园路1500号
"[[121.59209232000002, 31.100835194999974]]",3,上海市浦东新区周浦医院,7200,310115,周园路1500号
"[[121.36918554000002, 31.109141474999966]]",3,闵行区中心医院－肝炎门诊,7204,310112,莘凌路39号
"[[121.36918554000002, 31.109141474999966]]",3,闵行区中心医院－肠道门诊,7204,310112,莘凌路39号
"[[121.36918554000002, 31.109141474999966]]",3,闵行区中心医院－结核病门诊,7204,310112,莘凌路39号
"[[121.36918554000002, 31.109141474999966]]",3,闵行区中心医院－发热门诊,7204,310112,莘凌路39号
"[[121.36918554000002, 31.109141474999966]]",3,闵行区中心医院－高压氧舱,7204,310112,莘凌路39号
"[[121.40244324000001, 31.10977152000005]]",3,华东医院闵行门诊部,7200,310112,春申路2869号
"[[121.370553, 31.110168734999963]]",3,闵行区中心医院－病房大楼,7204,310112,莘松路170号
"[[121.37141214000003, 31.11035800499999]]",3,闵行区中心医院－儿科门诊,7204,310112,莘松路170号
"[[121.37024339999996, 31.110468885000017]]",3,闵行区中心医院－综合楼,7204,310112,莘松路170号
"[[121.37159214, 31.110487829999986]]",3,闵行区中心医院－门诊,7204,310112,莘松路170号
"[[121.37103269999999, 31.110608250000002]]",3,闵行区中心医院－医技楼,7204,310112,莘松路170号
